foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Uab Stora Enso,Lithuania,2019,Lithuania,LTU,Uab Stora Enso,217_LTU,0.0,0,217_LTU
4 Px Express,Hong Kong,2019,Hong Kong,HKG,4 Px Express,1257_SGP,100.0,0,1257_SGP
Danish Crown A S,Denmark,2021,Denmark,DNK,Danish Crown A S,767_DNK,,0,767_DNK
Chamorin,France,2020,France,FRA,Chamorin,1677_FRA,0.0,0,1677_FRA
Atchia Ceramica,Mauritius,2019,Mauritius,MUS,Atchia Ceramica,330_MUS,0.0,0,330_MUS
Agencies Internacionales S A,Dominican Republic,2020,Dominican Republic,DOM,Agencies Internacionales S A,149_DOM,0.0,0,149_DOM
Calbee Urc Malaysia Sdn Bhd,Malaysia,2020,Malaysia,MYS,Calbee Urc Malaysia Sdn Bhd,2063_MYS,100.0,0,2063_MYS
Toei Buhin,Japan,2020,Japan,JPN,Toei Buhin,1263_JPN,100.0,0,1263_JPN
Shin Chung Lin Corporation,Japan,2020,Japan,JPN,Shin Chung Lin Corporation,10206_JPN,0.0,0,10206_JPN
Aak Llc,Russia,2020,Russia,RUS,Aak Llc,1102_RUS,0.0,0,1102_RUS
Sabitech Global Logistics International,Nigeria,2021,Nigeria,NGA,Sabitech Global Logistics International,49_NGA,,0,49_NGA
Procesadora De Frutas Y Vegetales Del Caribe S R,Dominican Republic,2019,Dominican Republic,DOM,Procesadora De Frutas Y Vegetales Del Caribe S R,100_DOM,0.0,0,100_DOM
Soode Johor Sdn Bhd,Malaysia,2021,Malaysia,MYS,Soode Johor Sdn Bhd,6461_MYS,,0,6461_MYS
Dsv Solutions Nederland B V,Netherlands,2021,Netherlands,NLD,Dsv Solutions Nederland B V,CHN_1241,,1,
Lukas Kapeller Imp. Exp.,Austria,2021,Austria,AUT,Lukas Kapeller Imp Exp,CHN_1242,,1,
La Casa Del Rattan Llc Co. Srl,Costa Rica,2019,Costa Rica,CRI,La Casa Del Rattan Llc Co Srl,17_CRI,100.0,0,17_CRI
Polymer Tech,OTH,2021,OTH,OTH,Polymer Tech,CHN_1243,,1,
Laxtron Private,China,2019,China,CHN,Laxtron Private,10678_SGP,100.0,0,10678_SGP
San Fen Chemical,Taiwan,2019,Taiwan,TWN,San Fen Chemical,CHN_1244,90.0,1,
The Entertainer,United Kingdom,2020,United Kingdom,GBR,The Entertainer,3603_GBR,0.0,0,3603_GBR
Seit Logistics Europe,Ireland,2019,Ireland,IRL,Seit Logistics Europe,464_IRL,0.0,0,464_IRL
Filanchor Paper,Philippines,2020,Philippines,PHL,Filanchor Paper,278_PHL,0.0,0,278_PHL
Arienz Solution,Malaysia,2019,Malaysia,MYS,Arienz Solution,1802_MYS,0.0,0,1802_MYS
Grupo Asis Biomedia S L,Spain,2019,Spain,ESP,Grupo Asis Biomedia S L,2963_ESP,100.0,0,2963_ESP
"Parason Machinery Pvt., Ltd.",India,2020,India,IND,Parason Machinery Pvt Ltd,CHN_1245,100.0,1,
Cinnamon Girl,United States,2019,United States,USA,Cinnamon Girl,3573_USA,0.0,0,3573_USA
Nardipersonal Sp A,Italy,2020,Italy,ITA,Nardipersonal Sp A,3551_ITA,0.0,0,3551_ITA
Abd Hamid Bin Abu Bakar Tldm,Malaysia,2020,Malaysia,MYS,Abd Hamid Bin Abu Bakar Tldm,6885_MYS,0.0,0,6885_MYS
National Batteries Co.,Saudi Arabia,2019,Saudi Arabia,SAU,National Batteries Co,598_SAU,100.0,0,598_SAU
Here Chang Makalot Industrial,Taiwan,2020,Taiwan,TWN,Here Chang Makalot Industrial,CHN_1246,95.0,1,
Tah Tong Textile,Taiwan,2020,Taiwan,TWN,Tah Tong Textile,CHN_1247,85.0,1,
Kctex,United States,2019,United States,USA,Kctex,3164_USA,0.0,0,3164_USA
Infat International Trading Ltd.,China,2020,China,CHN,Infat International Trading Ltd,CHN_1248,86.0,1,
Philsa Philip Morris Sabanci,Turkey,2019,Turkey,TUR,Philsa Philip Morris Sabanci,CHN_1249,89.0,1,
"Fuller World Industrial Co., Ltd.",Taiwan,2020,Taiwan,TWN,Fuller World Industrial Co Ltd,CHN_1250,0.0,1,
Plasting Srl,Italy,2019,Italy,ITA,Plasting Srl,215_ITA,0.0,0,215_ITA
Avalong Technology,Taiwan,2020,Taiwan,TWN,Avalong Technology,CHN_1251,81.0,1,
Deluxe Digital Cinema Asia Pacific,Australia,2019,Australia,AUS,Deluxe Digital Cinema Asia Pacific,7308_AUS,0.0,0,7308_AUS
Nihon Tokushu Toryo,Japan,2019,Japan,JPN,Nihon Tokushu Toryo,4573_JPN,100.0,0,4573_JPN
Chengdu Tongya Xinrui Machinery Eq,China,2020,China,CHN,Chengdu Tongya Xinrui Machinery Eq,CHN_1252,94.0,1,
Paul Reed Smith Guitars Ltd.,United States,2021,United States,USA,Paul Reed Smith Guitars Ltd,10595_USA,,0,10595_USA
Icbc Standard Bank Plc,United Kingdom,2019,United Kingdom,GBR,Icbc Standard Bank Plc,11464_HKG,90.0,0,11464_HKG
Gk Worldwide Trading Sdn,Malaysia,2020,Malaysia,MYS,Gk Worldwide Trading Sdn,2845_MYS,0.0,0,2845_MYS
To The Order Of Standard Chartered Bank,United Arab Emirates,2019,United Arab Emirates,ARE,To The Order Of Standard Chartered Bank,51_OMN,0.0,0,51_OMN
Foremost Item General Trading L L C,United Arab Emirates,2020,United Arab Emirates,ARE,Foremost Item General Trading L L C,CHN_1253,81.0,1,
Grm Customs Products,United States,2019,United States,USA,Grm Customs Products,25266_USA,0.0,0,25266_USA
Top Line Textile,Taiwan,2020,Taiwan,TWN,Top Line Textile,CHN_1254,82.0,1,
Taylor Preston Ltd.,New Zealand,2020,New Zealand,NZL,Taylor Preston Ltd,1528_NZL,100.0,0,1528_NZL
Masada,Honduras,2020,Honduras,HND,Masada,64_HND,0.0,0,64_HND
Seasource Enterprise S Pte,Singapore,2019,Singapore,SGP,Seasource Enterprise S Pte,9866_SGP,100.0,0,9866_SGP
Fairdale Shenzhen Imp. Exp. Lt,China,2020,China,CHN,Fairdale Shenzhen Imp Exp Lt,13486_CHN,100.0,0,13486_CHN
"Bonatex Co., Ltd.",Taiwan,2020,Taiwan,TWN,Bonatex Co Ltd,CHN_1255,100.0,1,
Guangzhou Siyueming Trade,China,2021,China,CHN,Guangzhou Siyueming Trade,CHN_1256,,1,
Buhler Chanzhou Machinery,China,2021,China,CHN,Buhler Chanzhou Machinery,CHN_1257,,1,
Toyo Tyre Malaysia Sdn Bhd,Malaysia,2020,Malaysia,MYS,Toyo Tyre Malaysia Sdn Bhd,6114_SGP,0.0,0,6114_SGP
